id,file_no,category,created_at,updated_at
419,MSB/CB/A-1,DSI Corrrespondence,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
420,MSB/CB/A-3/3(A),Sinlung Hills Development Council/All Party Leaders Committee(APLC)/SHC,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
421,MSB/CB/A-4,Detection and Deportation of Foreigner,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
422,MSB/CB/A-5,Indo-Myanmar Border Affairs(Intelligence),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
423,MSB/CB/A-7,Enquiry against Police Officers & men,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
424,MSB/CB/A-8,Election Commission/Central Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
425,MSB/CB/A-9,"Communal Riot, etc",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
426,MSB/CB/A-10,Kidnapping/Abduction,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
427,MSB/CB/A-11,Sensitive/Hyper Sensitive pockets,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
428,MSB/CB/A-13,Law and Order,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
429,MSB/CB/A-14,Security threat perception transfer to B-19(A),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
430,MSB/CB/A-19,Meeting of DGP/IGP/DIG/SP/Governor Confidential Report,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
431,MSB/CB/A-20(A),Explosive recoveries/Bomb Explosion (Monthly Return),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
432,MSB/CB/A-21,Mizoram-Manipur Border/Paite Refugee,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
433,MSB/CB/A-23,Press clipping,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
434,MSB/CB/A-24,Detailment Order,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
435,MSB/CB/A-25,Vanawia Group (Closed),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
436,MSB/CB/A-27,News Letter (Mizoram Police),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
437,MSB/CB/A-29,Operation party killed 4(four) at Tipaimukh,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
438,MSB/CB/A-34,Bangladesh Rifles Activities/BGB,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
439,MSB/CB/A-35,Myanmar/Bangladesh Border Incident,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
440,MSB/CB/A-37,Lengpui Airport Corr. tranfer to D-2(A),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
441,MSB/CB/A-40,Special Task Force Corr. (Joint Task Force on Intl.) JTFI,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
442,MSB/CB/A-41,Indo Bangladesh Affairs,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
443,MSB/CB/A-42(B),Vehicle/Highway Robbery/Gold Bar,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
